V1.V,-I(V1.nA),V(un1)/-I(V1.nA),
0,0,,
0.001,8.579296903027186e-11,11655966.815266088,
0.002,1.7348698483421985e-10,11528242.3169159,
0.003,2.631240684017909e-10,11401465.545215707,
0.004,3.547472681565158e-10,11275632.990174811,
0.005,4.484005909719678e-10,11150743.555359364,
0.006,5.441290188987639e-10,11026796.571414452,
0.007,6.419785306707585e-10,10903791.428486228,
0.008,7.419961237866111e-10,10781727.482852325,
0.009000000000000001,8.44229837082822e-10,10660604.025911806,
0.01,9.48728773806968e-10,10540420.271931836,
0.011,1.0555431252021807e-9,10421175.352634728,
0.012,1.164724194614192e-9,10302868.314652748,
0.013000000000000001,1.2763244221325337e-9,10185498.118322521,
0.014,1.39039740977771e-9,10069063.637164177,
0.015,1.5069979472464545e-9,9953563.657739276,
0.016,1.6261820382274343e-9,9838996.87973449,
0.017,1.748006927300033e-9,9725361.916189976,
0.018000000000000002,1.8725311274291506e-9,9612657.293827044,
0.019,1.999814448069197e-9,9500881.453449007,
0.02,2.129918023890806e-9,9390032.7503991,
0.021,2.2629043441440545e-9,9280109.455065485,
0.022,2.3988372826722862e-9,9171109.753426947,
0.023,2.53778212859097e-9,9063031.74763473,
0.024,2.6798056176463022e-9,8955873.456627581,
0.025,2.824975964268657e-9,8849632.816777654,
0.026000000000000002,2.973362894336222e-9,8744307.682565697,
0.027,3.1250376786646234e-9,8639895.827284077,
0.028,3.280073167238557e-9,8536394.943766687,
0.029,3.4385438242019266e-9,8433802.645144647,
0.03,3.6005257636232508e-9,8332116.465627135,
0.031,3.766096786053544e-9,8231333.861306469,
0.032,3.935336415894227e-9,8131452.210986804,
0.033,4.1083259395929925e-9,8032468.817035796,
0.034,4.285148444686005e-9,7934380.906258513,
0.035,4.465888859705148e-9,7837185.630793063,
0.036000000000000004,4.650633994969553e-9,7740880.069027168,
0.037,4.8394725842808945e-9,7645461.226535265,
0.038,5.032495327542604e-9,7550926.0370353125,
0.039,5.229794934323362e-9,7457271.3633648185,
0.04,5.43146616838587e-9,7364493.998475416,
0.041,5.6376058932022395e-9,7272590.666445367,
0.042,5.8483131184779065e-9,7181558.023509351,
0.043000000000000003,6.063689047706339e-9,7091392.6591049805,
0.044,6.2838371267775e-9,7002091.096935263,
0.045,6.508863093663288e-9,6913649.796046534,
0.046,6.73887502920388e-9,6826065.151921116,
0.047,6.973983409019388e-9,6739333.497584083,
0.048,7.2143011565717135e-9,6653451.104723487,
0.049,7.459943697402119e-9,6568414.1848234,
0.05,7.711029014570566e-9,6484218.890309096,
0.051000000000000004,7.96767770532341e-9,6400861.31570377,
0.052000000000000005,8.230013039016745e-9,6318337.498796058,
0.053,8.498161016323115e-9,6236643.421817797,
0.054,8.77225042975014e-9,6155775.012631289,
0.055,9.052412925500072e-9,6075728.145925435,
0.056,9.338783066699884e-9,5996498.644420181,
0.057,9.631498398032578e-9,5918082.280078391,
0.058,9.930699511800289e-9,5840474.775324811,
0.059000000000000004,1.0236530115451405e-8,5763671.804271174,
0.06,1.0549137100603756e-8,5687668.993947006,
0.061,1.0868670613597248e-8,5612461.925535398,
0.062,1.1195284127609646e-8,5538046.135613165,
0.063,1.1529134516370437e-8,5464417.117394641,
0.064,1.1870382129507795e-8,5391570.321978654,
0.065,1.2219190869565153e-8,5319501.159597908,
0.066,1.2575728270724201e-8,5248205.00087024,
0.067,1.2940165579272226e-8,5177677.178051085,
0.068,1.3312677835852304e-8,5107912.986286618,
0.069,1.369344395953601e-8,5038907.684866884,
0.07,1.4082646833758954e-8,4970656.498478386,
0.07100000000000001,1.4480473394160336e-8,4903154.6184555525,
0.07200000000000001,1.4887114718368887e-8,4836397.204030461,
0.073,1.5302766117778154e-8,4770379.383580296,
0.074,1.5727627231355317e-8,4705096.255871974,
0.075,1.6161902121528546e-8,4640542.89130336,
0.076,1.6605799372198935e-8,4576714.333140598,
0.077,1.705953218892416e-8,4513605.598750942,
0.078,1.7523318501321882e-8,4451211.680830661,
0.079,1.7997381067742232e-8,4389527.548627415,
0.08,1.8481947582259437e-8,4328548.149156688,
0.081,1.8977250784034143e-8,4268268.408411748,
0.082,1.9483528569098944e-8,4208683.232566649,
0.083,2.0001024104620718e-8,4149787.509171843,
0.084,2.052998594569474e-8,4091576.10834192,
0.085,2.1070668154726632e-8,4034043.8839350506,
0.08600000000000001,2.1623330423459528e-8,3977185.6747236825,
0.08700000000000001,2.2188238197704924e-8,3920996.305556112,
0.088,2.2765662804837347e-8,3865470.5885084695,
0.089,2.3355881584113966e-8,3810603.324026757,
0.09,2.3959178019881528e-8,3756389.302058578,
0.091,2.4575841877735116e-8,3702823.3031741194,
0.092,2.520616934369356e-8,3649900.099676109,
0.093,2.585046316645871e-8,3597614.4566983473,
0.094,2.6509032802826797e-8,3545961.133292509,
0.095,2.718219456632169e-8,3494934.883502876,
0.096,2.78702717791214e-8,3444530.4574287278,
0.097,2.8573594927351015e-8,3394742.602274044,
0.098,2.929250181981637e-8,3345566.0633842833,
0.099,3.002733775025494e-8,3296995.585269942,
0.1,3.077845566318156e-8,3249025.912616664,
0.101,3.154621632340925e-8,3201651.791281598,
0.10200000000000001,3.2330988489325636e-8,3154867.969275861,
0.10300000000000001,3.313314909000907e-8,3108669.1977328076,
0.10400000000000001,3.395308340626917e-8,3063050.2318619234,
0.105,3.479118525569848e-8,3018005.831888178,
0.106,3.564785718182464e-8,2973530.763976607,
0.107,3.65235106474534e-8,2929619.8011419955,
0.108,3.741856623229588e-8,2886267.7241434613,
0.109,3.833345383497438e-8,2843469.322363836,
0.11,3.926861287950451e-8,2801219.3946736623,
0.111,4.022449252635199e-8,2759512.7502797293,
0.112,4.1201551888166124e-8,2718344.209558003,
0.113,4.220026025029329e-8,2677708.6048708586,
0.114,4.322109729617654e-8,2637600.7813685187,
0.115,4.4264553337749073e-8,2598015.597774649,
0.116,4.533112955093314e-8,2558947.92715599,
0.117,4.642133821635643e-8,2520392.6576760206,
0.11800000000000001,4.7535702965402493e-8,2482344.693332566,
0.11900000000000001,4.8674759031712844e-8,2444798.9546793336,
0.12,4.983905350826144e-8,2407750.379531355,
0.121,5.102914561012554e-8,2371193.9236542964,
0.122,5.224560694307888e-8,2335124.5614376324,
0.123,5.348902177813578e-8,2299537.2865517163,
0.124,5.475998733217884e-8,2264427.1125887088,
0.125,5.6059114054804126e-8,2229789.0736874356,
0.126,5.73870259215226e-8,2195618.2251421497,
0.127,5.874436073345762e-8,2161909.643995286,
0.128,6.013177042368332e-8,2128658.429614211,
0.129,6.154992137035021e-8,2095859.7042520642,
0.13,6.299949471674902e-8,2063508.6135927096,
0.131,6.448118669846649e-8,2031600.327279887,
0.132,6.599570897778956e-8,2000130.039430651,
0.133,6.75437889855195e-8,1969092.9691331568,
0.134,6.912617027035947e-8,1938484.3609288987,
0.135,7.074361285604364e-8,1908299.4852794958,
0.136,7.239689360637907e-8,1878533.6390181347,
0.137,7.408680659837662e-8,1849182.1457857508,
0.138,7.581416350364869e-8,1820240.3564521095,
0.139,7.757979397825775e-8,1791703.6495218803,
0.14,7.93845460612035e-8,1763567.4315258225,
0.14100000000000001,8.122928658173889e-8,1735827.137397242,
0.14200000000000002,8.311490157571103e-8,1708478.230833846,
0.14300000000000002,8.504229671112748e-8,1681516.204645129,
0.14400000000000002,8.701239772315191e-8,1654936.5810854454,
0.145,8.902615085873767e-8,1628734.9121729287,
0.146,9.108452333111384e-8,1602906.7799943946,
0.147,9.31885037843407e-8,1577447.7969964114,
0.148,9.533910276815916e-8,1552353.6062626785,
0.149,9.753735322336143e-8,1527619.8817778933,
0.15,9.978431097791566e-8,1503242.328678284,
0.151,1.0208105525408414e-7,1479216.6834889636,
0.152,1.0442868918677743e-7,1455538.7143482976,
0.153,1.0682834035339321e-7,1432204.22121947,
0.154,1.0928116131539683e-7,1409209.0360893945,
0.155,1.1178833017189904e-7,1386549.0231552217,
0.156,1.1435105112550215e-7,1364220.078998552,
0.157,1.1697055506068205e-7,1342218.1327476087,
0.158,1.1964810013498625e-7,1320539.1462275237,
0.159,1.2238497238333148e-7,1299179.1140989414,
0.16,1.2518248633569e-7,1278134.0639851424,
0.161,1.2804198564846336e-7,1257400.0565878616,
0.162,1.309648437498448e-7,1236973.1857920226,
0.163,1.3395246449948116e-7,1216849.5787595708,
0.164,1.370062828627516e-7,1197025.3960126035,
0.165,1.401277655999863e-7,1177496.8315060048,
0.166,1.4331841197095572e-7,1158260.1126897836,
0.167,1.4657975445497066e-7,1139311.5005613032,
0.168,1.499133594869366e-7,1120647.2897076227,
0.169,1.5332082820971743e-7,1102263.8083381345,
0.17,1.568037972431704e-7,1084157.418307702,
0.171,1.6036393947021817e-7,1066324.5151305173,
0.17200000000000001,1.6400296484034175e-7,1048761.5279848352,
0.17300000000000001,1.6772262119087345e-7,1031464.9197088373,
0.17400000000000002,1.7152469508648916e-7,1014431.1867877842,
0.17500000000000002,1.7541101267730083e-7,997656.8593326751,
0.176,1.7938344057596225e-7,981138.5010506056,
0.177,1.8344388675420925e-7,964872.7092070219,
0.178,1.8759430145926334e-7,948856.1145800755,
0.179,1.9183667815054295e-7,933085.381407254,
0.18,1.9617305445712666e-7,917557.2073245092,
0.181,2.0060551315643446e-7,902268.3232980449,
0.182,2.051361831745895e-7,887215.4935489927,
0.183,2.0976724060895102e-7,872395.5154711186,
0.184,2.145009097732973e-7,857805.219541804,
0.185,2.1933946426617247e-7,843441.4692264366,
0.186,2.2428522806290128e-7,829301.160876435,
0.187,2.2934057663180244e-7,815381.2236210663,
0.188,2.3450793807513062e-7,801678.6192532612,
0.189,2.3978979429530517e-7,788190.34210957,
0.19,2.4518868218697005e-7,774913.4189444943,
0.191,2.507071948554762e-7,761844.9087993056,
0.192,2.563479828623539e-7,748981.9028655842,
0.193,2.621137554983867e-7,736321.5243436085,
0.194,2.6800728208489146e-7,723860.9282957857,
0.195,2.7403139330382913e-7,711597.3014952926,
0.196,2.801889825573916e-7,699527.8622700769,
0.197,2.864830073577097e-7,687649.8603424006,
0.198,2.92916490747353e-7,675960.5766640821,
0.199,2.994925227513066e-7,664457.3232475863,
0.2,3.0621426186111814e-7,653137.4429931319,
0.201,3.1308493655192885e-7,641998.3095119678,
0.202,3.201078468331196e-7,631037.3269459645,
0.203,3.2728636583331293e-7,620251.9297836806,
0.20400000000000001,3.346239414204945e-7,609639.5826730459,
0.20500000000000002,3.421240978580352e-7,599197.780230801,
0.20600000000000002,3.497904374974014e-7,588924.0468488518,
0.20700000000000002,3.576266425083733e-7,578815.9364976658,
0.20800000000000002,3.656364766476007e-7,568871.0325268498,
0.209,3.738237870663436e-7,559086.947463052,
0.21,3.8219250615826964e-7,549461.3228053115,
0.211,3.907466534481888e-7,539991.8288179981,
0.212,3.9949033752264177e-7,530676.1643214576,
0.213,4.084277580032642e-7,521512.0564804944,
0.214,4.175632075638745e-7,512497.26059081603,
0.215,4.2690107399224983e-7,503629.559863565,
0.216,4.364458422975968e-7,494906.7652080354,
0.217,4.4620209686470464e-7,486326.71501272154,
0.218,4.5617452365583954e-7,477887.27492478275,
0.219,4.663679124614161e-7,469586.33762805985,
0.22,4.767871592005489e-7,461421.8226197286,
0.221,4.874372682725689e-7,453391.67598571785,
0.222,4.983233549606446e-7,445493.8701749843,
0.223,5.094506478886644e-7,437726.40377274493,
0.224,5.208244915325527e-7,430087.3012727734,
0.225,5.324503487872325e-7,422574.61284885014,
0.226,5.443338035904601e-7,415186.4141254681,
0.227,5.564805636048022e-7,407920.8059478775,
0.228,5.688964629590337e-7,400775.9141515673,
0.229,5.815874650502822e-7,393749.88933126576,
0.23,5.945596654082487e-7,386840.906609554,
0.231,6.07819294622911e-7,380047.1654051581,
0.232,6.213727213370729e-7,373366.8892010278,
0.233,6.352264553052396e-7,366798.3253122521,
0.234,6.493871505202579e-7,360339.7446539101,
0.23500000000000001,6.638616084092377e-7,353989.4415089209,
0.23600000000000002,6.786567811002863e-7,347745.7332959676,
0.23700000000000002,6.937797747616201e-7,341606.9603375686,
0.23800000000000002,7.092378530146695e-7,335571.48562835855,
0.23900000000000002,7.250384404227982e-7,329637.6946036541,
0.24,7.411891260573314e-7,323803.99490836007,
0.241,7.576976671425906e-7,318068.8161662855,
0.242,7.745719927816988e-7,312430.60974992416,
0.243,7.918202077649276e-7,306887.84855076706,
0.244,8.094505964624385e-7,301439.02675019216,
0.245,8.274716268032696e-7,296082.6595909958,
0.246,8.458919543424854e-7,290817.2831496152,
0.247,8.647204264184397e-7,285641.4541090952,
0.248,8.839660864021663e-7,280553.7495328421,
0.249,9.036381780408977e-7,275552.7666392273,
0.25,9.237461498978534e-7,270637.12257706805,
0.251,9.442996598903732e-7,265805.4542020479,
0.252,9.653085799286215e-7,261056.4178541061,
0.253,9.867830006570695e-7,256388.68913584325,
0.254,0.0000010087332363010159,251800.9626919876,
0.255,0.0000010311698296205208,247291.95198994735,
0.256,0.0000010541035569740883,242860.38910149786,
0.257,0.0000010775454334945364,238505.02448563633,
0.258,0.0000011015067183795688,234224.62677263096,
0.259,0.0000011259989202995623,230017.9825493041,
0.26,0.0000011510338029251648,225883.89614558007,
0.261,0.0000011766233905773838,221821.18942232148,
0.262,0.0000012027799740028502,217828.70156048937,
0.263,0.0000012295161162770546,213905.2888516482,
0.264,0.0000012568446588383894,210049.82448984278,
0.265,0.000001284778727655845,206261.1983648797,
0.266,0.000001313331739533434,202538.31685701702,
0.267,0.000001342517408554229,198880.10263310856,
0.268,0.0000013723497526672394,195285.49444420188,
0.269,0.0000014028431004201857,191753.4469246261,
0.27,0.0000014340120978414981,188282.93039257414,
0.271,0.0000014658717154747544,184872.93065220976,
0.272,0.0000014984372555690154,181522.44879730447,
0.273,0.0000015317243594284518,178230.50101642788,
0.274,0.0000015657490149248315,174996.11839970035,
0.275,0.000001600527564176453,171818.34674712428,
0.276,0.0000016360767113972157,168696.2463785057,
0.277,0.0000016724135309196186,165628.89194497524,
0.278,0.0000017095554753954994,162615.3722421238,
0.279,0.0000017475203841784995,159654.79002475642,
0.28,0.0000017863264918922412,156746.26182327862,
0.281,0.0000018259924371883667,153888.91776171824,
0.28200000000000003,0.0000018665372716985934,151081.90137739564,
0.28300000000000003,0.0000019079804691851677,148324.36944224042,
0.28400000000000003,0.0000019503419348940175,145615.49178576868,
0.28500000000000003,0.000001993642015115181,142954.45111971837,
0.28600000000000003,0.000002037901506955011,140340.44286435368,
0.28700000000000003,0.000002083141668324972,137772.67497643264,
0.28800000000000003,0.0000021293842281516924,135250.36777885046,
0.289,0.0000021766513968132704,132772.75379195347,
0.29,0.0000022249658768068067,130339.07756652783,
0.291,0.000002274350873652298,127948.59551846262,
0.292,0.0000023248301070381214,125600.57576508833,
0.293,0.000002376427822213482,123294.29796318841,
0.294,0.0000024291688016332225,121029.05314868716,
0.295,0.0000024830783768607616,118804.14357800277,
0.296,0.0000025381824407346032,116618.88257107766,
0.297,0.0000025945074598045694,114472.59435606765,
0.298,0.0000026520804870434494,112364.61391570044,
0.299,0.000002710929174840416,110294.2868352882,
0.3,0.000002771081788282207,108260.96915240092,
0.301,0.0000028325672187286907,106264.02720818552,
0.302,0.0000028954149976891303,104302.83750033424,
0.303,0.000002959655311005953,102376.78653769102,
0.304,0.0000030253190133527514,100485.27069649355,
0.305,0.0000030924376430535305,98627.69607824244,
0.306,0.000003161043437230312,96803.47836919174,
0.307,0.00000323116934728627,95012.04270145638,
0.308,0.0000033028490547320616,93252.82351572256,
0.309,0.000003376116987362688,91525.26442556147,
0.31,0.000003451008335792827,89828.81808333311,
0.311,0.0000035275590703585587,88162.94604767268,
0.312,0.0000036058059583935125,86527.11865255354,
0.313,0.0000036857865818878115,84920.81487791556,
0.314,0.000003767539355538334,83343.52222184905,
0.315,0.000003851103545198796,81794.73657432898,
0.316,0.00000393651928673871,80273.96209248518,
0.317,0.00000402382760532017,78780.71107740133,
0.318,0.000004113070435101669,77314.50385243392,
0.319,0.0000042042906393785985,75874.86864303671,
0.32,0.000004297532031169901,74461.3414580851,
0.321,0.000004392839394260833,73073.46597268747,
0.322,0.000004490258504712065,71710.79341247148,
0.323,0.000004589836152845187,70372.8824393385,
0.324,0.00000469162016571546,69059.29903867033,
0.325,0.000004795659430082401,67769.61640798078,
0.326,0.00000490200391588935,66503.41484699839,
0.327,0.000005010704700263202,65260.281649170705,
0.328,0.000005121813992045935,64039.81099457669,
0.329,0.000005235385156869623,62841.60384423711,
0.33,0.000005351472742787021,61665.26783581031,
0.331,0.000005470132506470025,60510.41718066173,
0.332,0.000005591421439988574,59376.67256229544,
0.333,0.000005715397798182833,58263.66103613554,
0.334,0.000005842121126641963,57171.015930644084,
0.335,0.000005971652290302578,56098.376749766496,
0.336,0.000006104053502680973,55045.38907668893,
0.337,0.000006239388355753005,54011.70447889662,
0.338,0.00000637772185049591,52996.98041452189,
0.339,0.000006519120428106833,52000.88013996796,
0.34,0.000006663652001913116,51023.072618796265,
0.341,0.000006811385989989381,50063.232431866876,
0.342,0.0000069623933484974375,49121.03968871674,
0.343,0.000007116746605764818,48196.17994016505,
0.34400000000000003,0.000007274519897118279,47288.3440921334,
0.34500000000000003,0.0000074357890004890674,46397.22832066761,
0.34600000000000003,0.000007600631372807166,45522.533988148236,
0.34700000000000003,0.00000776912618720167,44663.967560679375,
0.34800000000000003,0.000007941354371025475,43821.24052664111,
0.34900000000000003,0.000008117398644722427,42994.06931639416,
0.35000000000000003,0.000008297343561555451,42182.17522312499,
0.35100000000000003,0.000008481275548215095,41385.28432481702,
0.352,0.000008669282946327515,40603.12740733815,
0.353,0.000008861456054882244,39835.43988863023,
0.354,0.00000905788717359989,39081.96174398905,
0.355,0.000009258670647260592,38342.43743242293,
0.356,0.000009463902911014758,37616.61582407635,
0.357,0.000009673682536697439,36904.25012870833,
0.358,0.000009888110280168926,36205.09782521196,
0.359,0.000010107289129704097,35518.92059216378,
0.36,0.00001033132435545391,34845.484239390455,
0.361,0.000010560323560002615,34184.55864054137,
0.362,0.000010794396730045109,33535.91766665474,
0.363,0.000011033656289209095,32899.33912070595,
0.364,0.000011278217152047562,32274.60467312564,
0.365,0.000011528196779227497,31661.49979827622,
0.366,0.000011783715233941149,31059.813711875373,
0.367,0.000012044895239567011,30469.33930935483,
0.368,0.000012311862238608537,29889.873105142105,
0.369,0.000012584744452938123,29321.215172855627,
0.37,0.00001286367294537635,28763.169086399295,
0.371,0.000013148781682634797,28215.541861948215,
0.372,0.000013440207599653764,27678.14390081171,
0.373,0.00001373809066536524,27150.78893316384,
0.374,0.00001404257394991258,26633.29396263057,
0.375,0.00001435380369335959,26125.479211721693,
0.376,0.000014671929375921632,25627.168068097464,
0.377,0.000014997103789752613,25138.18703165879,
0.378,0.00001532948311232245,24658.36566245006,
0.379,0.000015669226981419895,24187.536529364657,
0.38,0.000016016498571817068,23725.53515964189,
0.381,0.000016371464673632258,23272.199989145465,
0.382,0.00001673429577242886,22827.372313412598,
0.383,0.000017105166131088663,22390.896239463993,
0.384,0.000017484253873498864,21962.618638364336,
0.385,0.000017871741070092846,21542.38909852334,
0.386,0.000018267813825286525,21130.059879726505,
0.387,0.000018672662366850682,20725.48586788758,
0.388,0.0000190864811372642,20328.524530510436,
0.389,0.000019509468887089965,19939.03587285319,
0.39,0.000019941828770420277,19556.88239478253,
0.391,0.000020383768442435685,19181.929048310896,
0.392,0.000020835500159125602,18814.043195805432,
0.393,0.000021297240879217756,18453.09456886017,
0.394,0.000021769212368365492,18098.955227822185,
0.395,0.000022251641305642967,17751.499521962403,
0.396,0.000022744759392399553,17410.604050281945,
0.397,0.0000232488034635258,17076.147622944933,
0.398,0.000023764015601183185,16748.01122332978,
0.399,0.00002429064325105438,16426.0779706886,
0.4,0.000024828939341167716,16110.233083407575,
0.401,0.000025379162403353642,15800.363842859182,
0.402,0.000025941576697392634,15496.359557836926,
0.403,0.00002651645233791189,15198.111529565775,
0.404,0.000027104065424093264,14905.513017278861,
0.405,0.00002770469817225493,14618.459204352213,
0.406,0.00002831863905136851,14336.847164990435,
0.40700000000000003,0.000028946182921579214,14060.575831453889,
0.40800000000000003,0.000029587631175793627,13789.545961820524,
0.40900000000000003,0.000030243291884403273,13523.660108274287,
0.41000000000000003,0.00003091347994321455,13262.822585911885,
0.41100000000000003,0.000031598517224655004,13006.939442060715,
0.41200000000000003,0.00003229873273232816,12755.918426100496,
0.41300000000000003,0.000033014462758992434,12509.668959780594,
0.41400000000000003,0.0000337460510480385,12268.102108026174,
0.41500000000000004,0.00003449384895854406,12031.1305502254,
0.41600000000000004,0.000035258215633983,11798.66855199121,
0.417,0.00003603951817467238,11570.631937389679,
0.418,0.000036838131814038595,11346.938061628438,
0.419,0.00003765444009878698,11127.505784198285,
0.42,0.000038488835073062276,10912.2554424608,
0.421,0.00003934171746668786,10701.108825675361,
0.422,0.00004021349688757335,10493.989149459048,
0.423,0.000041104592018384875,10290.821030672303,
0.424,0.000042015430817569116,10091.530462724679,
0.425,0.00004294645072483099,9896.044791293343,
0.426,0.00004389809887116133,9704.292690448581,
0.427,0.000044870832293515854,9516.20413917984,
0.428,0.00004586511815424858,9331.710398316143,
0.429,0.00004688143396540459,9150.743987834796,
0.43,0.000047920267817980265,8973.238664552262,
0.431,0.00004898211861626021,8799.129400191447,
0.432,0.00005006749631734375,8628.352359819359,
0.433,0.00005117692217597545,8460.844880649503,
0.434,0.000052310928994797734,8296.545451203148,
0.435,0.00005347006138014536,8135.393690823877,
0.436,0.0000546548760035025,7977.330329540211,
0.437,0.000055865941868751945,7822.297188270114,
0.438,0.000057103840585340177,7670.237159362699,
0.439,0.00005836916664749164,7521.094187471419,
0.44,0.00005966252771960692,7374.813250753415,
0.441,0.0000609845449279777,7231.340342390318,
0.442,0.00006233585315896301,7090.622452424824,
0.443,0.0000637171013637673,6952.607549908284,
0.444,0.00006512895286996548,6817.244565354476,
0.445,0.00006657208569992727,6684.483373494278,
0.446,0.00006804719289629049,6554.274776326786,
0.447,0.00006955498285464003,6426.570486461999,
0.448,0.00007109617966355408,6301.323110750176,
0.449,0.00007267152345217665,6178.486134193622,
0.45,0.00007428177074548685,6058.013904135973,
0.451,0.0000759276948274326,5939.861614724726,
0.452,0.00007761008611210341,5823.985291642524,
0.453,0.00007932975252311998,5710.341777102823,
0.454,0.00008108751988142371,5598.888715105549,
0.455,0.00008288423230164915,5489.584536948735,
0.456,0.00008472075259727183,5382.388446991724,
0.457,0.0000865979626947245,5277.260408665944,
0.458,0.00008851676405667901,5174.161130729244,
0.459,0.0000904780781146994,5073.05205375963,
0.46,0.00009248284671147012,4973.89533688466,
0.461,0.00009453203255281272,4876.653844742528,
0.462,0.00009662661966970923,4781.291134670926,
0.463,0.00009876761389054811,4687.77144412019,
0.464,0.00010095604332382649,4596.05967828666,
0.465,0.00010319295885153104,4506.1213979630065,
0.466,0.00010547943463344355,4417.922807601483,
0.467,0.0001078165686226,4331.43074358712,
0.468,0.00011020548309216544,4246.612662716691,
0.46900000000000003,0.00011264732517396133,4163.436630880698,
0.47000000000000003,0.00011514326740891374,4081.871311944508,
0.47100000000000003,0.00011769450830968199,4001.8859568255134,
0.47200000000000003,0.00012030227293573505,3923.4503927630726,
0.47300000000000003,0.0001229678134811556,3846.535012777841,
0.47400000000000003,0.00012569240987544774,3771.1107653174954,
0.47500000000000003,0.00012847737039763883,3697.149144085608,
0.47600000000000003,0.00013132403230397107,3624.622178050547,
0.47700000000000004,0.0001342337624694745,3553.5024216316106,
0.47800000000000004,0.00013720795804374094,3483.7629450590393,
0.47900000000000004,0.00014024804712120092,3415.377324905303,
0.48,0.00014335548942622894,3348.3196347846106,
