V1.V,I(D1.nA),V(un1)/I(D1.nA),
0,0,,
0.01,9.476810243991814e-10,10552073.68570019,
0.02,2.1280855770501718e-9,9398118.297349129,
0.03,3.59810344571409e-9,8337725.819343727,
0.04,5.4284152660198794e-9,7368633.024519521,
0.05,7.707221954320086e-9,6487421.835824228,
0.06,1.0544395110643002e-8,5690226.833347595,
0.07,1.4082646387901095e-8,4970656.65584982,
0.08,1.848194770212307e-8,4328548.121084132,
0.09,2.3959178171601206e-8,3756389.278271528,
0.1,3.0778455852087526e-8,3249025.8926754305,
0.11,3.926861311469686e-8,2801219.3778962586,
0.12,4.983905380108127e-8,2407750.365385078,
0.13,6.299949508131653e-8,2063508.6016515314,
0.14,7.938454651509843e-8,1763567.4214423196,
0.15,9.978431154302532e-8,1503242.320164954,
0.16,1.2518248703926464e-7,1278134.056801528,
0.17,1.5680379811913708e-7,1084157.4122511793,
0.18,1.9617305554772568e-7,917557.2022234672,
0.19,2.451886835447916e-7,774913.4146531293,
0.2,3.0621426355163735e-7,653137.4393873515,
0.21,3.821925082630062e-7,549461.3197794245,
0.22,4.767871618209961e-7,461421.82008373016,
0.23,5.945596686707682e-7,386840.904486847,
0.24,7.411891301192461e-7,323803.9931338276,
0.25,9.237461549550367e-7,270637.12109542557,
0.26,0.0000011510338092214839,225883.89490996295,
0.27,0.0000014340121056805733,188282.9293633192,
0.28,0.0000017863265016520958,156746.26096687262,
0.29,0.0000022249658889580783,130339.07685470319,
0.3,0.0000027710818034108815,108260.96856135198,
0.31,0.0000034510083546284583,89828.8175930467,
0.32,0.000004297532054620814,74461.34105176202,
0.33,0.00000535147277198415,61665.267499370435,
0.34,0.0000066636520382645234,51023.072340456325,
0.35000000000000003,0.000008297343606814278,42182.174993037406,
0.36,0.000010331324411802932,34845.48404933651,
0.37,0.000012863673015533342,28763.16892952828,
0.38,0.000016016498659165894,23725.535030250463,
0.39,0.000019941828879174364,19556.88228812777,
0.4,0.000024828939476573396,16110.232995549732,
0.41000000000000003,0.000030913480111804514,13262.822513581668,
0.42,0.00003848883528297087,10912.255382948057,
0.43,0.000047920268079337526,8973.238615612197,
0.44,0.00005966252804502763,7374.813210528552,
0.45,0.00007428177115068164,6058.013871090507,
0.46,0.00009248284721600684,4973.89530974976,
0.47000000000000003,0.00011514326803716621,4081.871289672726,
0.48,0.0001433554902085618,3348.3196165118507,
0.49,0.00017847954537916205,2745.4126407541194,
0.5,0.00022220854625008574,2250.1384777400617,
0.51,0.0002766502122376165,1843.4831329966883,
0.52,0.0003444283230552017,1509.748081654305,
0.53,0.0004288089567792832,1235.9816454878808,
0.54,0.0005338575445298508,1011.5057950067161,
0.55,0.0006646342296043799,827.5228321108059,
0.56,0.0008274368190722838,676.7888340137777,
0.5700000000000001,0.0010301028381879123,553.3428109010026,
0.58,0.0012823849356457015,452.2822936218918,
0.59,0.001596417251037839,369.5775647728925,
0.6,0.0019872944736800437,301.9180136343501,
0.61,0.0024737903414061542,246.58516519765504,
0.62,0.0030792484120327345,201.34783461354886,
0.63,0.0038326852611621173,164.37561580753862,
0.64,0.004770154985476372,134.16754842318534,
0.65,0.005936434158791536,109.49333937063639,
0.66,0.007387098264900601,89.34496013623568,
0.67,0.009191074041222843,72.89681238503641,
0.68,0.011433766784799657,59.47296396704623,
0.6900000000000001,0.014220876755775646,48.52021516322927,
0.7000000000000001,0.017683032962606607,39.585969300642816,
0.71,0.02198138342364009,32.300059842294715,
0.72,0.027314284598737342,26.359833712550664,
0.73,0.03392522314509367,21.51791299582281,
0.74,0.04211207182990989,17.572158477237842,
0.75,0.05223771637195824,14.357442324998111,
0.76,0.06474197569168998,11.738906511275196,
0.77,0.08015455623198162,9.606440808822924,
0.78,0.09910851320922803,7.870161449736831,
0.79,0.12235332507121355,6.4567105106477065,
0.8,0.1507662253186644,5.306228223921465,
0.81,0.1853599129249612,4.369876890953819,
0.8200000000000001,0.2272842635600058,3.6078168684278933,
0.8300000000000001,0.27781933779409546,2.987553014092744,
0.84,0.338357039487469,2.4825846723106504,
0.85,0.41036944875089887,2.071304290773274,
0.86,0.4953633018147775,1.736099539165226,
0.87,0.5948222815290334,1.4626217393262446,
0.88,0.7101413763721608,1.239189870185542,
0.89,0.8425599092503981,1.0563047092898212,
0.9,0.9931011366885867,0.9062521094286281,
0.91,1.1625259687254637,0.782778212686018,
0.92,1.351306267823013,0.6808227134786714,
0.93,1.5596198855306638,0.5962991422641202,
0.9400000000000001,1.7873660453390305,0.5259135376613352,
0.9500000000000001,2.0341968444096827,0.4670147840464707,
0.96,2.299559119413793,0.4174713282625778,
0.97,2.582740777046716,0.37557001795169115,
0.98,2.8829165909445242,0.33993352533273413,
0.99,3.1991899038833345,0.3094533396714866,
1,3.5306281829179498,0.2832357156265411,
1.01,3.876291652256781,0.26055830948942577,
1.02,4.235255145197455,0.24083554946072694,
1.03,4.606623871853296,0.2235910785539388,
1.04,4.989544061694563,0.20843587853732518,
1.05,5.383208634046801,0.19505095777992681,
1.06,5.78686419592816,0.1831734708317249,
1.07,6.199806403252909,0.17258603420884133,
1.08,6.621383270610232,0.16310791202703878,
1.09,7.050992486878717,0.15458816642173356,
1.1,7.48807891735251,0.1469001611950047,
1.11,7.932131739738151,0.13993716146179924,
1.12,8.382681384656303,0.1336087999300621,
1.1300000000000001,8.839296431771308,0.1278382288366767,
1.1400000000000001,9.301580564340155,0.12255981573394786,
1.1500000000000001,9.769169648553586,0.11771727192497554,
1.16,10.241728977663143,0.11326212620251129,
1.17,10.718950702180168,0.10915247513565196,
1.18,11.200551454461406,0.10535195564232527,
1.19,11.686270167248258,0.10182889689946359,
1.2,12.175866080037455,0.09855561749052258,
1.21,12.66911692365816,0.0955078406246658,
1.22,13.165817271462593,0.0926642057112851,
1.23,13.665777044629266,0.09000585886796664,
1.24,14.168820158885483,0.08751610833470683,
1.25,14.674783300228963,0.08518013345931295,
1.26,15.183514817795404,0.08298473806099581,
1.27,15.694873722754215,0.08091814068938773,
1.28,16.20872878293498,0.0789697956663709,
1.29,16.72495770373616,0.07713023989960999,
1.3,17.243446386705603,0.07539096134530725,
1.31,17.764088257988995,0.07374428571704812,
1.32,18.28678365959972,0.07218327862193857,
1.33,18.811439297167578,0.07070166078149358,
1.34,19.337967738469544,0.06929373438421359,
1.35,19.866286957633847,0.06795431893634493,
1.36,20.39631992044132,0.06667869524036046,
1.37,20.927994206627798,0.06546255634790493,
1.3800000000000001,21.46124166552232,0.06430196451386978,
1.3900000000000001,21.995998101742106,0.06319331332775077,
1.4000000000000001,22.532202988010265,0.062133294323016786,
1.41,23.06979920247044,0.06111886746933669,
1.42,23.6087327881475,0.060147235039777106,
1.43,24.148952732447913,0.059215818418434776,
1.44,24.690410764812373,0.05832223747578234,
1.45,25.233061170827078,0.05746429219124635,
1.46,25.776860621273567,0.05663994624679261,
1.47,26.32176801475147,0.05584731235288488,
1.48,26.867744332645817,0.05508463910019112,
1.49,27.414752505334118,0.05435029915772864,
1.5,27.962757288636908,0.05364277866151446,